# period  BIC_array
5.501744797203966808e-01 -9.774350605186782559e+00
5.502769281752142305e-01 -9.842055626474348173e+00
5.503794147911644785e-01 -9.768884359637468151e+00
5.504819395895734768e-01 -9.592496402442066028e+00
5.505845025917830426e-01 -9.402594422538527397e+00
5.506871038191509804e-01 -9.296312924626136009e+00
5.507897432930510817e-01 -9.321586008840313298e+00
5.508924210348729034e-01 -9.455152901995575121e+00
5.509951370660221004e-01 -9.627443754534510845e+00
5.510978914079202040e-01 -9.759322256523205397e+00
5.512006840820048437e-01 -9.785593808103044466e+00
5.513035151097295250e-01 -9.672975041743143265e+00
5.514063845125639629e-01 -9.457923372073423707e+00
5.515092923119935264e-01 -9.257532339081535611e+00
5.516122385295199049e-01 -9.188694332301338363e+00
5.517152231866608858e-01 -9.284737370127231770e+00
5.518182463049501330e-01 -9.486212172526620634e+00
5.519213079059375193e-01 -9.682910101762672639e+00
5.520244080111892382e-01 -9.783443389072544960e+00
5.521275466422870259e-01 -9.760922007036924697e+00
5.522307238208291613e-01 -9.655941398514414686e+00
5.523339395684301323e-01 -9.548950138110285479e+00
5.524371939067204140e-01 -9.510305152255568828e+00
5.525404868573465800e-01 -9.562213940704737070e+00
5.526438184419716348e-01 -9.673950724446058302e+00
5.527471886822746816e-01 -9.790717901769426135e+00
5.528505975999509214e-01 -9.872591440405699359e+00
5.529540452167120979e-01 -9.906561925309006256e+00
5.530575315542858306e-01 -9.893276931265745588e+00
5.531610566344162816e-01 -9.833323595987735644e+00
5.532646204788638222e-01 -9.730488052804957988e+00
5.533682231094050330e-01 -9.605352888719494331e+00
5.534718645478330368e-01 -9.503554908722890104e+00
5.535755448159570546e-01 -9.476538331758206368e+00
5.536792639356026280e-01 -9.541655521423649589e+00
5.537830219286118405e-01 -9.639058240426948032e+00
5.538868188168432072e-01 -9.645894656722362015e+00
5.539906546221713413e-01 -9.489397255424023570e+00
5.540945293664876203e-01 -9.233380145616024492e+00
5.541984430716994092e-01 -9.016865146660052233e+00
5.543023957597308371e-01 -8.915994694241021534e+00
5.544063874525224644e-01 -8.934832481200487564e+00
5.545104181720311720e-01 -9.056479689721300019e+00
5.546144879402304939e-01 -9.162521277146197463e+00
5.547185967791101735e-01 -9.053849686474222835e+00
5.548227447106769405e-01 -8.726083575522466163e+00
5.549269317569536231e-01 -8.431413938468267588e+00
5.550311579399798134e-01 -8.350629113287709515e+00
5.551354232818115353e-01 -8.424467602871118288e+00
5.552397278045215767e-01 -8.567691845163608377e+00
5.553440715301990460e-01 -8.750158756200448806e+00
5.554484544809498159e-01 -8.839306773210864776e+00
5.555528766788966344e-01 -8.700547793031660149e+00
5.556573381461784589e-01 -8.469569015005845358e+00
5.557618389049509000e-01 -8.420096591319293111e+00
5.558663789773867769e-01 -8.604832809314530095e+00
5.559709583856748960e-01 -8.878789955329125405e+00
5.560755771520213830e-01 -9.126103181094663341e+00
5.561802352986485731e-01 -9.302187875235176762e+00
5.562849328477960098e-01 -9.373817442412928358e+00
5.563896698217194459e-01 -9.348938116986232671e+00
5.564944462426918426e-01 -9.312381204977782545e+00
5.565992621330028145e-01 -9.346121101789321983e+00
5.567041175149587406e-01 -9.448241570508798759e+00
5.568090124108828753e-01 -9.570918629977995806e+00
5.569139468431150153e-01 -9.678244764895680419e+00
5.570189208340121656e-01 -9.749967816949151711e+00
5.571239344059480958e-01 -9.766332927387907148e+00
5.572289875813134508e-01 -9.708182931145302064e+00
5.573340803825155287e-01 -9.570774889984932088e+00
5.574392128319790585e-01 -9.378239155890696566e+00
5.575443849521449780e-01 -9.181976962856424507e+00
5.576495967654717667e-01 -9.045948887524900783e+00
5.577548482944346686e-01 -9.036255245453730822e+00
5.578601395615258030e-01 -9.165727387245624413e+00
5.579654705892543864e-01 -9.295700316220631976e+00
5.580708414001466222e-01 -9.215568186918744686e+00
5.581762520167455888e-01 -8.917468345179486278e+00
5.582817024616116841e-01 -8.627843093378942285e+00
5.583871927573220706e-01 -8.499652931907917264e+00
5.584927229264711190e-01 -8.493291360073840224e+00
5.585982929916704087e-01 -8.615837513947099069e+00
5.587039029755482833e-01 -8.909169006007914504e+00
5.588095529007505169e-01 -9.127392837984643847e+00
5.589152427899398701e-01 -8.922031802202241124e+00
5.590209726657963119e-01 -8.488123104783539929e+00
5.591267425510169087e-01 -8.289471061616268344e+00
5.592325524683159355e-01 -8.359901715749970208e+00
5.593384024404247645e-01 -8.482834706153880688e+00
5.594442924900923098e-01 -8.704923272004748469e+00
5.595502226400844714e-01 -9.063790494156023669e+00
5.596561929131842472e-01 -9.179593332910599202e+00
5.597622033321921764e-01 -8.800933129522036324e+00
5.598682539199258956e-01 -8.390687163382835934e+00
5.599743446992204721e-01 -8.409331739379467763e+00
5.600804756929282924e-01 -8.688899991832727210e+00
5.601866469239189517e-01 -8.952106506539166730e+00
5.602928584150792535e-01 -9.242175042741791913e+00
5.603991101893137650e-01 -9.543129937328444612e+00
5.605054022695441507e-01 -9.591385464792438142e+00
5.606117346787096167e-01 -9.335396376103403782e+00
5.607181074397665776e-01 -9.120326140244401358e+00
5.608245205756889895e-01 -9.175236917160077610e+00
5.609309741094682389e-01 -9.391010515061111619e+00
5.610374680641132539e-01 -9.610604023627956849e+00
5.611440024626503931e-01 -9.783646490202272616e+00
5.612505773281234456e-01 -9.892928922631654132e+00
5.613571926835936310e-01 -9.925055984533059927e+00
5.614638485521400435e-01 -9.900569766442004038e+00
5.615705449568589858e-01 -9.841357129325956521e+00
5.616772819208644130e-01 -9.758189966971940521e+00
5.617840594672879329e-01 -9.653534257791420714e+00
5.618908776192784726e-01 -9.538480506973542106e+00
5.619977364000030562e-01 -9.474060366159164914e+00
5.621046358326459158e-01 -9.524771114183863574e+00
