date keplerian stellar stellar+keplerian GP_variance
9047.61986565 3.51624781 -4.36174257 -0.84549476 5.26610065
9047.73274106 0.56076395 -4.35955137 -3.79878741 5.25062305
9047.84561647 -2.96786111 -4.35479771 -7.32265882 5.23372546
9047.95849188 -3.46311802 -4.34802543 -7.81114345 5.21534443
9048.07136729 -0.41881848 -4.33968568 -4.75850416 5.19539468
9048.18424271 3.05354376 -4.33013476 -1.27659100 5.17376910
9048.29711812 3.40496399 -4.31963390 -0.91466992 5.15033974
9048.40999353 0.27626538 -4.30835087 -4.03208548 5.12496010
9048.52286894 -3.13479638 -4.29636293 -7.43115930 5.09746839
9048.63574435 -3.34187009 -4.28366117 -7.62553126 5.06769207
9048.74861976 -0.13331149 -4.27015570 -4.40346719 5.03545345
9048.86149517 3.21150107 -4.25568166 -1.04418058 5.00057644
9048.97437058 3.27392786 -4.24000580 -0.96607795 4.96289441
9049.08724599 -0.00983581 -4.22283352 -4.23266933 4.92225894
9049.20012140 -3.28354657 -4.20381612 -7.48736269 4.87854962
9049.31299681 -3.20123586 -4.18255844 -7.38379429 4.83168459
9049.42587222 0.15296884 -4.15862653 -4.00565768 4.78163165
9049.53874763 3.35082835 -4.13155556 -0.78072721 4.72841987
9049.65162304 3.12389955 -4.10085781 -0.97695826 4.67215122
9049.76449845 -0.29587995 -4.06603079 -4.36191074 4.61301207
9049.87737386 -3.41324880 -4.02656545 -7.43981425 4.55128387
9049.99024927 -3.04203114 -3.98195450 -7.02398564 4.48735276
9050.10312468 0.43836180 -3.93170076 -3.49333896 4.42171718
9050.21600009 3.47071736 -3.87532550 -0.40460815 4.35499283
9050.32887550 2.95574939 -3.81237675 -0.85662736 4.28791416
9050.44175091 -0.58020768 -3.74243742 -4.32264509 4.22133106
9050.55462632 -3.52315065 -3.66513315 -7.18828380 4.15620002
9050.66750173 -2.86517949 -3.58013986 -6.44531935 4.09356833
9050.78037714 0.72121180 -3.48719069 -2.76597888 4.03455071
9050.89325255 3.57047260 -3.38608236 0.18439025 3.98029749
9051.00612796 2.77045283 -3.27668079 -0.50622796 3.93195471
9051.11900337 -0.86116960 -3.15892582 -4.02009542 3.89061705
9051.23187878 -3.61261457 -3.03283496 -6.64544953 3.85727570
9051.34475419 -2.67170683 -2.89850612 -5.57021295 3.83276480
9051.45762960 0.99987803 -2.75611923 -1.75624120 3.81771083
9051.57050501 3.64951541 -2.60593682 1.04357859 3.81248991
9051.68338042 2.56908477 -2.44830343 0.12078133 3.81719789
9051.79625583 -1.13713585 -2.28364404 -3.42077989 3.83163680
9051.90913124 -3.68112159 -2.11246150 -5.79358309 3.85531925
9052.02200665 -2.46273551 -1.93533312 -4.39806863 3.88749025
9052.13488206 1.27274393 -1.75290649 -0.48016256 3.92716382
9052.24775747 3.70738725 -1.56589460 2.14149265 3.97317016
9052.36063288 2.35281335 -1.37507062 0.97774273 4.02420862
9052.47350829 -1.40650553 -1.18126211 -2.58776764 4.07890198
9052.58638370 -3.72827429 -0.98534511 -4.71361941 4.13584821
9052.69925911 -2.23947777 -0.78823807 -3.02771584 4.19366716
9052.81213452 1.53822659 -0.59089562 0.94733097 4.25104079
9052.92500993 3.74375241 -0.39430246 3.34944995 4.30674619
9053.03788534 2.12289318 -0.19946719 1.92342599 4.35968186
9053.15076075 -1.66771602 -0.00741626 -1.67513228 4.40888752
9053.26363616 -3.75379914 0.18081214 -3.57298700 4.45355847
9053.37651157 -2.00322874 0.36417412 -1.63905461 4.49305511
9053.48938698 1.79478595 0.54162623 2.33641218 4.52690844
9053.60226239 3.75839992 0.71213174 4.47053166 4.55482207
9053.71513780 1.88065804 0.87466712 2.75532516 4.57667122
